name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
MC./SSMP/9/288,,-0.8924305555611113,10.72993055556111,-0.8933333333,10.7266666667,-0.8916666667,10.7325
SSMP/9/290,,-0.9074999999999999,10.7333333333,-0.9083333333,10.7308333333,-0.9066666667,10.7358333333
SSMP/9/312,,-0.9063194444166667,10.729930555583334,-0.9083333333,10.7275,-0.905,10.7316666667
MC/SSMP/9/311,,-0.9049999999999998,10.733402777795833,-0.9066666667,10.7316666667,-0.9033333333,10.735
SSMP/9/296,,-0.8975694444472222,10.738819444447222,-0.9,10.7375,-0.8958333333,10.74
SSMP/9/326,,-0.8972222221833338,10.72819444440833,-0.9,10.7258333333,-0.8958333333,10.73
MC/SSMP/9/325,,-0.91083333335,10.727916666700002,-0.9125,10.7266666667,-0.9091666667,10.7291666667
SSMP-NIM-9/1847,,-0.9095486111159962,10.725703125012657,-0.9125,10.725,-0.9066666667,10.7266666667
SSMP-NIM-5/1608,,-1.0004166667,6.44666666665,-1.0016666667,6.445,-0.9991666667,6.4483333333
MC./SSMP/6/2751,,-1.7000000000000002,6.27583333335,-1.7008333333,6.275,-1.6991666667,6.2766666667
MC/SSMP/9/315,,-0.8962500000045458,10.734128787861984,-0.8983333333,10.7325,-0.8941666667,10.7358333333
SSMP-NIM-3/1837,,-1.5878472222451392,5.740972222226388,-1.59,5.7391666667,-1.5866666667,5.7433333333
SSMP-NIM-3/1852,,-1.5877976190091838,5.738630952394898,-1.59,5.7375,-1.585,5.7391666667
SSMP-NIM-3/1854,,-1.58583333335,5.741666666700001,-1.5866666667,5.7391666667,-1.585,5.7441666667
MC/SSMP/5/2053,,-0.6608333333500002,6.285,-0.6625,6.2841666667,-0.6591666667,6.2858333333
SSMP-NIM-3/1853,,-1.5837499999999998,5.74,-1.585,5.7383333333,-1.5825,5.7416666667
MC/SSMP/5/2158,,-0.5297499999759998,6.359916666661999,-0.5308333333,6.3591666667,-0.5283333333,6.3608333333
MC/SSMP/12/28,,-2.3203240740919755,7.0410648148172825,-2.3216666667,7.04,-2.3183333333,7.0425
MC/SSMP/12/27,,-2.322083333295454,7.01587121213843,-2.3233333333,7.0141666667,-2.32,7.0175
MC/SSMP/12/29,,-2.3204166667000004,7.038333333349999,-2.3216666667,7.0366666667,-2.3191666667,7.04
MC/SSMP/12/18,,-2.3177651515119835,7.038749999995454,-2.3191666667,7.0366666667,-2.3158333333,7.04
MC/SSMP/12/26,,-2.3245833332999997,7.01666666665,-2.3258333333,7.015,-2.3233333333,7.0183333333
SSMP/3/1286,,-1.8257638889013887,6.028263888901389,-1.8266666667,6.025,-1.825,6.0308333333
SSMP-LAYER/1516,,-1.6080357143163264,6.151845238081633,-1.6091666667,6.1508333333,-1.6066666667,6.1533333333
SSMP/6/2491,,-1.6987500000000002,6.297499999999999,-1.7008333333,6.2966666667,-1.6966666667,6.2983333333
SSMP-NIM-6/1853,,-1.6758333333499997,6.3,-1.6775,6.2991666667,-1.6741666667,6.3008333333
SSMP/ER/2106,,-0.698657407415432,6.464953703710492,-0.7,6.4633333333,-0.6975,6.4666666667
SSMP-NIM-6/1847,,-1.6958333333625,6.216666666649999,-1.6975,6.215,-1.6941666667,6.2183333333
SSMP-NIM-5/1845,,-1.01,6.43875,-1.0116666667,6.4375,-1.0083333333,6.44
SSMP-NIM-5/1842,,-1.0104924242714879,6.444053030295043,-1.0116666667,6.4425,-1.0091666667,6.4458333333
SSMP/ER/2108,,-0.6879166667000002,6.465000000000001,-0.6891666667,6.4633333333,-0.6866666667,6.4666666667
SSMP/ER/2107,,-0.7048863636190082,6.4678409091157025,-0.7066666667,6.4666666667,-0.7033333333,6.4691666667
SSMP/ER/2103,,-0.6995833333499999,6.46333333335,-0.7,6.4625,-0.6991666667,6.4641666667
PL12/5,,-2.43541666665,6.699999999999999,-2.5,6.65,-2.3708333333,6.75
PL5/241,,-0.8704489370005064,6.124757972669382,-0.9166666667,6.0833333333,-0.8083333333,6.1666666667
PL-3/818,,-1.6760833333554175,5.733719696983495,-1.725,5.6666666667,-1.6416666667,5.7833333333
PL (G)-5/841,,-0.4698028673690528,6.179121863810081,-0.5,6.1125,-0.4333333333,6.2291666667
PL3/102,,-1.1410191441379525,5.216019144182884,-1.1666666667,5.1666666667,-1.1,5.2416666667
